Symbol
AAPL
MSFT
TSLA
AMZN
GOOG
NVDA
CEI
SNDL
BBIG
MULN
NOK
GME
AMC
PLTR
F
T
XOM
INTC
BABA
SOFI
RIOT
COIN
PYPL
SHOP
RIVN
UBER
LYFT
CVNA
CHPT
RUN
CLSK
DNA
WBD
PFE
NIO
LCID
